3
9
10
第1关 沼泽之地
0,0,0,0,0,0,24,0,0,1
0,1,1,1,26,1,1,1,0,1
2,0,1,0,2,0,1,0,2,1
12,1,0,2,1,2,0,1,13,1
1,1,2,1,1,1,2,1,1,1
0,3,0,0,1,0,0,3,0,1
12,0,1,0,3,0,1,0,4,1
24,1,1,1,13,1,1,1,30,1
0,0,0,0,0,0,24,0,0,1
第2关 流星之地
0,0,0,0,0,0,24,0,0,1
0,1,1,1,26,1,1,1,0,1
2,0,1,0,2,0,1,0,2,1
12,1,0,2,1,2,0,1,13,1
1,1,2,1,1,1,2,1,1,1
0,3,0,0,1,0,0,3,0,1
12,0,1,0,3,0,1,0,4,1
24,1,1,1,13,1,1,1,30,1
0,0,0,0,0,0,24,0,0,1
第3关 流放之地
0,0,0,0,0,0,24,0,0,1
0,1,1,1,26,1,1,1,0,1
2,0,1,0,2,0,1,0,2,1
12,1,0,2,1,2,0,1,13,1
1,1,2,1,1,1,2,1,1,1
0,3,0,0,1,0,0,3,0,1
12,0,1,0,3,0,1,0,4,1
24,1,1,1,13,1,1,1,30,1
0,0,0,0,0,0,24,0,0,1
